# doc_id=0-LST-4007 discipline=0 revision=R0
"Primary
Code",col_1,Work Code,Cost Code Description,UOM,"Cost 
Type",Comments,col_7,col_8
,0832,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0833,,"Electrical Duct Banks/Red Concrete
(All costs for Electrical Duct Banks/Red Concrete, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0833,,Concrete,CY/CM,,,,
,0833,,Forms,SF/SM,,,,
,0833,,Rebar,LB/KG,,,,
,0833,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0833,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0833,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0833,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0833,,"Purchased fill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
0800,0800,,CONCRETE - Continued  (HEADER ONLY),,,,,
,0834,,Precast Structural Concrete,CY/CM,"L,M,U,S,V",,x,
,0835,,"Non-Structural Concrete
 (Lean Concrete, Mud Mats)",CY/CM,"L,M,U,S,V",,x,
,0836,,Tilt-up/Lift Panels,LS,,,,
,0837,,Slip Form,LS,,,,
,0838,,"Grout - Structures, Piperacks and Buildings
 (Include chipping.  Charge shimming and setting steel on top of foundation receiving grout to applicable steel account)",CF/CM,,,,
,0839,,"Grout - Equipment
 (Include chipping.  Charge shimming and setting equipment on top of foundation receiving grout to applicable equipment account)",CF/CM,,,,
,0840,,User Defined  0840 - 0898,,,,,
,0841,,Concrete  (Use 0820~0833 as Alternative),CY/CM,"L,M,U,S,V",New - User Defined,x,
,0842,,Forms  (Use 0820~0833 as Alternative),SF/SM,"L,M,U,S,V",New - User Defined,x,
,0843,,Rebar  (Use 0820~0833 as Alternative),LB/KG,"L,M,U,S,V",New - User Defined,x,
,0844,,Anchor Bolts and Embedded Steel  (Use 0820~0833 as Alternative),LB/KG,"L,M,U,S,V",New - User Defined,x,
,0845,,"Expansion Joint, Waterstop, Vapor Barrier  (Use 0820~0833 as Alternative)",LF/LM,"L,M,U,S,V",New - User Defined,x,
,0846,,Purchased fill  (Use 0820~0833 as Alternative),CY/CM,"L,M,U,S,V",New - User Defined,x,
,0847,,Excavation  (Use 0820~0833 as Alternative),CY/CM,"L,M,U,S,V",New - User Defined,x,
,0848,,Backfill  (Use 0820~0833 as Alternative),CY/CM,"L,M,U,S,V",New - User Defined,x,
,0849,,Spoils  (Use 0820~0833 as Alternative),CY/CM,"L,M,U,S,V",New - User Defined,x,
,0850,,Trench and Sump Covers,SF/SM,"L,M,U,S,V",New - User Defined,x,
,0851,,"Grout
(Include chipping.  Charge shimming and setting steel on top of foundation receiving grout to applicable steel account)",CY/CM,"L,M,U,S,V",New - User Defined,x,
,0898,,"Concrete 
(All Materials and Labour Costs for all Concrete Work)  (CODE FOR COST ROLL-UP)",LS,"L,M,U,S,V",,x,
,0899,,Re-Work,LS,,,,
0900,,,FIRE PROTECTION  (HEADER ONLY),,,,x,
,0910,,Fireproofing  0911 - 0914,,,,,
,0911,,"Site Poured
 (All costs for fireproofing on structural steel and equipment that requires formwork)",CF/CM,,,,
,0912,,"Sprayed On
 (All costs for Fireproofing that is sprayed on)",SF/SM,,,,
,0913,,"Shop Applied
 (All costs for fireproofing that is applied by the fabricator)",LS or CF/CM,,,,
,0914,,"Troweled On
 (All costs for Fireproofing that is trowelled on)",SF/SM,,,,
,0920,,Sprinkler Systems,LS,,,,
,0998,,"Fire Protection 
(All material and labor costs for fireprotection, fireproofing site poured, sprayed, shop applied, trowled on etc.)  (CODE FOR COST ROLL-UP)",LS,"L,M,U,S,V",,x,
