# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
6404H,Sulphate Crystallizer Chiller,
6405T,Chillant Expansion Tank,
6406P,Chillant Circulation Pump,
6407T,Sulphate Crystallizer Feed Tank,
6408A,Sulphate Crystallizer Feed Tank Agitator,
6409P,Sulphate Crystallizer Feed Pump,
6410P,Sulphate Crystallizer Slurry Pump,
6412T,Sulphate Crystallizer Slurry Tank,
6413A,Sulphate Crystallizer Slurry Tank Agitator,
6415T,Sulphate Crystallizer Water Tank,
6416P,Sulphate Crystallizer Water Pump,
6417H,Sulphate Crystallizer Water Heater,
6418H,Sulphate Crystallizer Dust Scrubber Liquor Cooler (Sulphate Wash Cooler),
6420T,Sulphate Crystallizer Seal Tank,
6421T,Calcium Sulphate Reactor,
6422A,Calcium Sulphate Reactor Agitator,
6423P,Calcium Sulphate Pump,
6424K,Calcium Sulphate Filter,
6425T,Calcium Carbonate Reactor,
6426A,Calcium  Carbonate Reactor Agitator,
6427P,Calcium Carbonate Pump,
6428K,Calcium Carbonate Filter,
6430K,Guard Filter,
6431M,Filter Chute,
6498H,Boilout Heater,
Area 65,"Chlorate Crystal Separation, Drying, Conveying and Storage",
6501K,Crystallizer Centrifuge,
6502M,Dryer Feeder,
6510K,Sulphate Crystallizer Centrifuge,
6511M,Sulphate Crystallizer Dryer Feeder,
6515M,Wet Crystal Loading Conveyor,
6518M,Dryer Introducer,
6520M,Dryer,
6521C,Dryer Fluidizing Air Fan,
6522H,Dryer Air Heater,
6523M,Cyclone,
6524U,Dust Scrubber,
6525P,Dust Scrubber Pump,
6526C,Dryer Exhaust Fan,
6527M,Dryer Airlock,
6528M,Cyclone Airlock,
6529C,Dust Scrubber Cooler,
6530M,Crystal Conveying Surge Hopper,
6531M,Crystal Conveying Fluidizer,
6532K,Dryer Fluidizing Air Filter,
6533X,Dryer Exhaust Fan Receiver,
6535T,Chlorate Hopper,
6540M,Chlorate Storage Bin (Silo),
6541M,Bin Dust Collector,
6542M,Bin Activator,
6543M,Vibrating Feeder,
6544S,Loading Scale,
6545M,Crystal Bagging Maching,
6546M,Empty Pallet Conveyor,
6547M,Full Pallet Conveyor,
6550T,Salt Storage Hopper,
6551M,Salt Feeder,
Area 66,Mother Liquor,
6601T,Mother Liquor Tank,
6602P,Mother Liquor Return Pump,
6611T,Desulphated Mother Liquor Tank,
6612P,Desulphated Mother Liquor Pump+D803,
Area 68,R8 Solution Preparation Storage,
6801T,Chlorate Dissolving Tank,
6802A,Chlorate Dissolving Tank Agitator,
6803H,Chlorate Dissolving Tank Heater,
6804H,Water Heater,
6805T,Chlorate Solution Pump Tank,
6806P,Chlorate Solution Pump,
6807M,Chlorate Dissolving Tank Feeder,
6810T,R8 Solution Storage Tank,
6812P,R8 Solution Loading Pump,
6813K,R8 Solution Filter,
Area 70,Hydrochloric Acid,
7001R,HCl Synthesis Unit,
7002U,Tail Gas Scrubber,
7003V,Tail Gas Ejector,
7003C,Tail Gas StartUp Fan,
7004P,Weak HCl Circulation Pump,
